# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-08-17 at 08:45:33
#
# Requested input R.A. = 275.09141273506 degrees
# Requested input Dec. = 7.18532896893 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460174.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 486 14 2 ZTF_g 450506745415 0 3.7801 97.9496 8.11338 26.3146 1.02289e-05 0.0282266 -0.0553995 2.42823e-05 1831 30. 0.13647 0.124318 20.0706 26.3146 1 2458205.0067477 486120154 228701.316796762 326.88927268035 778.256573128007 39.7577701540113 250715.274167949 358.497580193863 704.060138503193 1.12122476924146 0.137786560060816 13.0459997177124 0.0160000007599592 0.437999993562698 0.0299999993294477 2458205.029514 2458320.708646 0
 1 486 14 2 ZTF_g 450529515415 0 2.6548 101.401 10.5398 26.3204 4.7644e-06 0.019391 -0.0470156 1.12793e-05 1840 30. 0.072774 0.068103 19.9195 26.3204 1 2458205.0295139 486120154 247101.272926248 278.189909774236 988.071585176776 195.274463310947 260073.808309676 265.117189512997 987.583720440462 1.07759152429082 0.137786560060816 13.0459997177124 0.0160000007599592 0.437999993562698 0.0299999993294477 2458205.029514 2458320.708646 0
 2 486 14 2 ZTF_g 453467715415 0 2.1613 100.195 15.6996 26.2963 5.5528e-06 0.0210189 -0.0380694 1.32034e-05 1853 30. 0.051203 0.055706 19.5541 26.2963 1 2458207.9677199 486120154 1029.74073840857 10.15973257473 112.74581208427 26.5588003999506 6098.1960646751 122.29200224866 50.201711094293 1.07746635079748 0.137786560060816 13.0459997177124 0.0160000007599592 0.437999993562698 0.0299999993294477 2458205.029514 2458320.708646 56
 3 486 14 2 ZTF_g 456462625415 0 2.3635 98.9196 16.4193 26.2565 7.5966e-06 0.0245137 -0.0187877 1.80849e-05 1847 30. 0.063877 0.058777 19.4232 26.2565 1 2458210.9626273 486120154 195024.030941018 259.307626323234 836.618839365081 183.985320808659 210104.002391183 269.226342170725 785.655160004628 1.07903802834795 0.137786560060816 13.0459997177124 0.0160000007599592 0.437999993562698 0.0299999993294477 2458205.029514 2458320.708646 0
 4 486 14 2 ZTF_g 456487145415 0 2.1807 102.329 15.8052 26.2845 5.5184e-06 0.0208419 -0.0195754 1.31329e-05 1846 30. 0.055499 0.054131 19.5758 26.2845 1 2458210.9871412 486120154 205507.48758626 263.09460098177 868.901436101215 187.585632049861 215805.941056406 260.530032818753 833.913096832643 1.07837790779761 0.137786560060816 13.0459997177124 0.0160000007599592 0.437999993562698 0.0299999993294477 2458205.029514 2458320.708646 0
 5 486 14 2 ZTF_r 462507925415 0 3.2889 171.176 14.0759 26.208 3.7369e-06 0.0172509 0.0887921 8.85256e-06 1855 30. 0.113715 0.121279 19.5918 26.208 1 2458217.0079282 486120254 258127.82739362 335.976546644619 854.634981729069 150.456996440884 279029.964949417 368.846704569852 761.588064464098 1.15328126165174 0.0974562057091494 13.0789999008179 0.017000000923872 0.597000002861023 0.00999999977648258 2458187.034896 2458340.801956 0
 6 486 14 2 ZTF_r 472438375415 0 1.8014 176.792 9.72093 26.2219 3.032e-06 0.0154299 0.0859446 7.19822e-06 1851 30. 0.052065 0.051335 20.589 26.2219 1 2458226.9383796 486120254 345.941491927719 3.48196395906584 110.518042382882 25.9792855891127 2986.23041520191 47.3897029153029 63.4387359261117 1.06667669962284 0.0974562057091494 13.0789999008179 0.017000000923872 0.597000002861023 0.00999999977648258 2458187.034896 2458340.801956 56
 7 486 14 2 ZTF_r 472479535415 0 2.4157 176.497 10.5782 26.2428 3.4905e-06 0.0165765 0.08546 8.27242e-06 1850 30. 0.075779 0.066184 20.2437 26.2428 1 2458226.979537 486120254 107924.028461702 185.967271808772 645.559726608404 218.862371718707 105020.935523973 162.628382411471 650.121805304505 1.08484933025008 0.0974562057091494 13.0789999008179 0.017000000923872 0.597000002861023 0.00999999977648258 2458187.034896 2458340.801956 0
 8 486 14 2 ZTF_g 482417655415 0 2.4973 96.3892 15.2826 26.2224 6.6156e-06 0.0229815 -0.00500733 1.56765e-05 1844 30. 0.066072 0.066359 19.4169 26.2224 1 2458236.9176505 486120154 15081.4867657401 109.597121369772 153.073429062845 15.0367083133267 20711.2004485937 151.9808123159 137.192920984609 1.10683775066401 0.137786560060816 13.0459997177124 0.0160000007599592 0.437999993562698 0.0299999993294477 2458205.029514 2458320.708646 0
