# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2023-08-17 at 09:09:39
#
# Requested input R.A. = 274.218333 degrees
# Requested input Dec. = -19.632583 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460174.5 days
# Authenticated program IDs = 1, 2
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 333 4 0 ZTF_g 454465911215 49 2.0999 33.1819 31.8346 24.2483 0.0023217 0.0363767 0.105515 0.0065705 24 30. 0.055002 0.07462 16.6051 24.2483 1 2458208.9659144 333120112 -134.878208194119 138.435021384014 -1.08380366887992 1.02230576261723 188.549646596526 249.597349888925 0.760503023766131 1.05371861336763 4.98496609710542 22.2539999008179 0.296999990940094 0.978999972343445 -0.199000000953674 2458262.901238 2458365.752222 0
 1 333 4 0 ZTF_g 454486141215 49 2.1763 31.9189 29.7488 24.65 0.00127686 0.062859 -0.0941577 0.00286497 60 30. 0.052166 0.071608 17.0931 24.65 1 2458208.9861458 333120112 -73.082072125543 134.515489583077 -0.604356722146434 1.05630982335678 44.1409744880856 236.030500352384 0.188273407142574 1.06120070743485 4.98496609710542 22.2539999008179 0.296999990940094 0.978999972343445 -0.199000000953674 2458262.901238 2458365.752222 0
 2 333 4 0 ZTF_g 455511601215 0 2.5351 176.046 17.5974 26.2436 4.04954e-05 0.0468711 -0.0162512 4.67226e-05 897 30. 0.06423 0.091891 19.2558 26.2436 1 2458210.0116088 333120112 113.897022472933 83.107300026201 1.52450200055281 1.00043563827025 124.652509813084 132.671324631108 0.945886776871159 1.0815091551543 4.98496609710542 22.2539999008179 0.296999990940094 0.978999972343445 -0.199000000953674 2458262.901238 2458365.752222 0
 3 333 4 0 ZTF_g 456524871215 0 2.7628 177.447 19.3532 26.2152 4.13224e-05 0.0452183 -0.0380141 4.90206e-05 776 30. 0.072141 0.087361 18.9736 26.2152 1 2458211.0248727 333120112 133.824664983814 98.1504849053669 1.51669591269246 1.0156522370699 311.468962677902 151.12435918594 2.07489200120327 1.08078253066147 4.98496609710542 22.2539999008179 0.296999990940094 0.978999972343445 -0.199000000953674 2458262.901238 2458365.752222 0
 4 333 4 0 ZTF_g 480398641215 0 2.3202 51.6139 15.792 24.8995 0.00014071 0.0495788 -0.00801113 0.000220914 338 30. 0.061792 0.083424 18.0068 24.8995 1 2458234.8986458 333120112 -29.6191547271136 72.7811865325491 -0.452697743822639 1.01167311125081 -213.897975052286 126.368253849768 -1.70405607152622 1.05279674059057 4.98496609710542 22.2539999008179 0.296999990940094 0.978999972343445 -0.199000000953674 2458262.901238 2458365.752222 0
 5 333 4 0 ZTF_r 490479741215 0 2.9927 298.767 19.1391 26.2013 2.47726e-05 0.0411816 0.0937148 2.61627e-05 1105 30. 0.124201 0.120637 19.179 26.2013 1 2458244.9797454 333120212 -94.5487964034103 85.2941661015791 -1.23308063730768 1.05946711596638 -112.378666676394 129.559955292143 -0.873229256733291 1.09549660442847 4.11049365468533 20.2759999275208 0.063000001013279 0.162000000476837 -0.00899999961256981 2458246.931273 2458313.805000 0
 6 333 4 0 ZTF_r 492431271215 0 3.0823 308.819 22.1429 26.2424 2.28055e-05 0.0393293 0.0981011 2.41198e-05 1106 30. 0.134144 0.12752 19.6297 26.2424 1 2458246.9312731 333120212 1.47147310996276 61.0224587954897 0.0268236224961109 0.997034194133997 -74.822990635501 92.3189095724329 -0.815942564001625 1.09924659217639 4.11049365468533 20.2759999275208 0.063000001013279 0.162000000476837 -0.00899999961256981 2458246.931273 2458313.805000 0
 7 333 4 0 ZTF_r 493456551215 0 2.201 308.988 20.0866 26.2663 1.73824e-05 0.0339986 0.1184 1.83994e-05 1082 30. 0.094943 0.10034 20.3849 26.2663 1 2458247.9565509 333120212 42.1475896796376 30.6142677462525 1.53145298389119 0.942840525703102 1.3497595910174 52.4179615843049 0.0259233716544991 1.07650765151047 4.11049365468533 20.2759999275208 0.063000001013279 0.162000000476837 -0.00899999961256981 2458246.931273 2458313.805000 0
 8 333 4 0 ZTF_g 508401231215 0 2.7659 169.658 8.22617 26.2396 2.06583e-05 0.0379504 -0.0298468 2.19458e-05 1080 30. 0.086293 0.091215 20.14 26.2396 1 2458262.9012384 333120112 -11.3768760858544 40.7397986826288 -0.310641125024998 0.958152054402544 64.3365914671117 60.8556834401994 1.06431968964558 1.11860395714441 4.98496609710542 22.2539999008179 0.296999990940094 0.978999972343445 -0.199000000953674 2458262.901238 2458365.752222 0
